file,date,gap_days,n_points,heldout_MAE_m,heldout_RMSE_m,heldout_Bias_m,heldout_R2,heldout_mean_sigma_m,heldout_median_sigma_m,heldout_p90_sigma_m,heldout_pct_1s,heldout_pct_2s,grid_mean_sigma_before_m,grid_median_sigma_before_m,grid_p90_sigma_before_m,grid_mean_sigma_after_m,grid_median_sigma_after_m,grid_p90_sigma_after_m,grid_sigma_reduction_m,grid_sigma_reduction_pct,checkpoint_after_update,update_stage,abs_heldout_bias_m
BASS_12-12-2025(TDS).csv,2025-12-12,393,143,0.4185,0.5053,-0.0776,0.7891,0.3534,0.3519,0.3596,46.2,80.4,0.8526,0.6595,1.686,1.5976,1.5798,2.51,-0.745,-87.38,/Users/naqduck/Downloads/SVGP DT Fraim/Models/BASS 3/svgp_after_2025-12-12_BASS_12-12-2025_TDS.npz,after_update_checkpointed,0.0776
BASS_02-10-2026(TDS).csv,2026-02-10,60,110,0.307,0.3993,-0.2493,0.7627,0.2326,0.2309,0.2403,52.7,73.6,1.5978,1.5798,2.51,2.1725,2.3224,3.0562,-0.5748,-35.97,/Users/naqduck/Downloads/SVGP DT Fraim/Models/BASS 3/svgp_after_2026-02-10_BASS_02-10-2026_TDS.npz,after_update_checkpointed,0.2493
BASS_02-22-2026(TDS).csv,2026-02-22,12,154,0.2035,0.2977,-0.0248,0.9556,0.2196,0.1872,0.3177,61.7,92.2,2.1726,2.3225,3.0562,2.7407,3.1001,3.6213,-0.5682,-26.15,/Users/naqduck/Downloads/SVGP DT Fraim/Models/BASS 3/svgp_after_2026-02-22_BASS_02-22-2026_TDS.npz,after_update_checkpointed,0.0248
