model_stage,reference_date,eval_date,days_after_update,decimal_year,mean_sigma_m,median_sigma_m,p90_sigma_m,min_sigma_m,max_sigma_m
final_streaming_model,2026-02-22,2026-02-22,0,2026.142466,2.7407,3.1001,3.6213,0.1866,3.7017
final_streaming_model,2026-02-22,2026-03-08,14,2026.180822,2.7407,3.1002,3.6213,0.1867,3.7017
final_streaming_model,2026-02-22,2026-03-24,30,2026.224658,2.7408,3.1003,3.6213,0.1868,3.7017
final_streaming_model,2026-02-22,2026-04-23,60,2026.306849,2.7408,3.1004,3.6213,0.1872,3.7017
final_streaming_model,2026-02-22,2026-05-23,90,2026.389041,2.7409,3.1005,3.6213,0.1879,3.7017
